ds,y,measurement
2007-12-10T15:00:00Z,9.59076113897809,views
2007-12-11T15:00:00Z,8.51959031601596,views
2007-12-12T15:00:00Z,8.18367658262066,views
2007-12-13T15:00:00Z,8.072467369354769,views
2007-12-14T15:00:00Z,7.893572073504901,views
2007-12-15T15:00:00Z,7.78364059622125,views
2007-12-16T15:00:00Z,8.41405243249672,views
2007-12-17T15:00:00Z,8.82922635473185,views
2007-12-18T15:00:00Z,8.38251828808963,views
2007-12-19T15:00:00Z,8.06965530688617,views
2007-12-20T15:00:00Z,7.87929148508227,views
2007-12-21T15:00:00Z,7.76174498465891,views
2007-12-22T15:00:00Z,7.529406457837009,views
2007-12-23T15:00:00Z,8.38526052015541,views
2007-12-24T15:00:00Z,8.62011072542292,views
2007-12-25T15:00:00Z,7.85243908535751,views
2007-12-26T15:00:00Z,7.85399308722424,views
2007-12-27T15:00:00Z,8.0519780789023,views
2007-12-28T15:00:00Z,7.92660259918138,views
2007-12-29T15:00:00Z,7.83834331555712,views
2007-12-30T15:00:00Z,9.70314458114435,views
2007-12-31T15:00:00Z,9.38597294061934,views
2008-01-01T15:00:00Z,8.29379960884682,views
2008-01-02T15:00:00Z,8.43468076984177,views
2008-01-03T15:00:00Z,8.26204284396694,views
2008-01-04T15:00:00Z,8.106816038947048,views
2008-01-05T15:00:00Z,7.950149887652019,views
2008-01-06T15:00:00Z,9.509259076353949,views
2008-01-07T15:00:00Z,8.846784666945231,views
2008-01-08T15:00:00Z,8.430545384690571,views
2008-01-09T15:00:00Z,8.248267447446901,views
2008-01-10T15:00:00Z,8.28172399041139,views
2008-01-11T15:00:00Z,8.29279885820037,views
2008-01-12T15:00:00Z,8.19918935907807,views
2008-01-13T15:00:00Z,9.99652241850332,views
2008-01-14T15:00:00Z,10.1270710070787,views
2008-01-15T15:00:00Z,8.933796043934858,views
2008-01-16T15:00:00Z,8.56617381363786,views
2008-01-17T15:00:00Z,8.547722396451059,views
2008-01-18T15:00:00Z,8.399760094524138,views
2008-01-19T15:00:00Z,8.22309055116153,views
2008-01-20T15:00:00Z,8.838986793496789,views
2008-01-21T15:00:00Z,10.8972021813751,views
2008-01-22T15:00:00Z,9.444938073335509,views
2008-01-23T15:00:00Z,8.92332474406756,views
2008-01-24T15:00:00Z,8.543445562560299,views
2008-01-25T15:00:00Z,8.49556089128912,views
2008-01-26T15:00:00Z,8.417372856134032,views
2008-01-27T15:00:00Z,8.57262789830434,views
2008-01-28T15:00:00Z,8.73648935100155,views
2008-01-29T15:00:00Z,8.63408694288774,views
2008-01-30T15:00:00Z,8.67351294567119,views
2008-02-01T15:00:00Z,8.82423661734664,views
2008-02-02T15:00:00Z,8.537975730598768,views
2008-02-03T15:00:00Z,9.698061122027081,views
2008-02-04T15:00:00Z,12.097456837151698,views
2008-02-05T15:00:00Z,10.6352783566883,views
2008-02-06T15:00:00Z,9.691716587516892,views
2008-02-07T15:00:00Z,9.31560088263368,views
2008-02-08T15:00:00Z,8.970813341411448,views
2008-02-09T15:00:00Z,8.589141690728821,views
2008-02-10T15:00:00Z,8.61740045183326,views
2008-02-11T15:00:00Z,8.61631428228404,views
2008-02-12T15:00:00Z,8.215547411947071,views
2008-02-13T15:00:00Z,8.06495089174914,views
2008-02-14T15:00:00Z,8.11342663994365,views
2008-02-15T15:00:00Z,7.79934339821592,views
2008-02-16T15:00:00Z,7.6275443904885005,views
2008-02-17T15:00:00Z,7.55590509361135,views
2008-02-18T15:00:00Z,7.711548979629151,views
2008-02-19T15:00:00Z,7.78862606562503,views
2008-02-20T15:00:00Z,7.70841066725737,views
2008-02-21T15:00:00Z,7.76853330092603,views
2008-02-22T15:00:00Z,7.695303134963571,views
2008-02-23T15:00:00Z,7.378383712996711,views
2008-02-24T15:00:00Z,7.91059061225648,views
2008-02-25T15:00:00Z,7.62657020629066,views
2008-02-26T15:00:00Z,7.57353126274595,views
2008-02-27T15:00:00Z,7.567862605463881,views
2008-02-29T15:00:00Z,7.5522372875608,views
2008-03-02T15:00:00Z,7.3369369137076195,views
2008-03-05T15:00:00Z,8.124743020385571,views
2008-03-06T15:00:00Z,7.88758403166028,views
2008-03-07T15:00:00Z,7.81963630236759,views
2008-03-08T15:00:00Z,7.38398945797851,views
2008-03-09T15:00:00Z,7.8143996338044905,views
2008-03-10T15:00:00Z,7.5422134631933995,views
2008-03-11T15:00:00Z,7.548555979169871,views
2008-03-12T15:00:00Z,7.6889133368647995,views
2008-03-13T15:00:00Z,7.477038472319701,views
2008-03-14T15:00:00Z,7.358830898342349,views
2008-03-15T15:00:00Z,7.03262426102801,views
2008-03-16T15:00:00Z,7.11801620446533,views
2008-03-17T15:00:00Z,7.34987370473834,views
2008-03-18T15:00:00Z,7.32646561384032,views
2008-03-19T15:00:00Z,7.363913501405821,views
2008-03-20T15:00:00Z,7.2779385729456605,views
2008-03-21T15:00:00Z,7.25134498337221,views
2008-03-22T15:00:00Z,7.002155954403619,views
2008-03-23T15:00:00Z,7.16394668434255,views
2008-03-24T15:00:00Z,7.7591874385078,views
2008-03-25T15:00:00Z,7.51860721681525,views
2008-03-26T15:00:00Z,7.4139702901904405,views
2008-03-27T15:00:00Z,7.442492722794441,views
2008-03-28T15:00:00Z,7.2283884515736,views
2008-03-29T15:00:00Z,6.99117688712121,views
2008-03-30T15:00:00Z,7.2115567333138,views
2008-03-31T15:00:00Z,7.31121838441963,views
2008-04-01T15:00:00Z,7.34923082461333,views
2008-04-02T15:00:00Z,7.51425465281641,views
2008-04-03T15:00:00Z,7.3932630947638405,views
2008-04-04T15:00:00Z,7.28619171470238,views
2008-04-05T15:00:00Z,7.27309259599952,views
2008-04-06T15:00:00Z,7.1685798972640296,views
2008-04-07T15:00:00Z,7.61134771740362,views
2008-04-08T15:00:00Z,7.61775957660851,views
2008-04-09T15:00:00Z,7.42595365707754,views
2008-04-10T15:00:00Z,8.18200013629341,views
2008-04-11T15:00:00Z,7.39939808333135,views
2008-04-12T15:00:00Z,7.1066061377273,views
2008-04-13T15:00:00Z,7.08086789669078,views
2008-04-14T15:00:00Z,7.421177528595389,views
2008-04-15T15:00:00Z,7.4916454736051294,views
2008-04-16T15:00:00Z,7.38585107812521,views
2008-04-17T15:00:00Z,7.68294316987829,views
2008-04-18T15:00:00Z,7.6889133368647995,views
2008-04-19T15:00:00Z,7.259116128097099,views
2008-04-20T15:00:00Z,8.14496941708788,views
